source_id,ra,dec,parallax,parallax_error,b,ruwe,bp_rp,phot_bp_rp_excess_factor,pf,epoch_g,int_average_g,int_average_g_error
3960906320265637888,188.1900144626333,27.02920717442483,0.5114089198954963,0.03220559,85.84145242412066,1.7760737,0.5752239,1.2365718,0.5865840391483544,1673.3467111540351,11.540674,0.008301707
3965612234327712128,172.7233944102246,13.32448414705552,0.2795454516767802,0.017850684,66.66213646338811,1.1998893,0.64750576,1.2057155,0.4986081488377245,1665.9380032247889,13.223022,0.01772461
3967471985231478016,170.79213409607829,15.698481417989381,0.36532285898186506,0.01963732,66.54923039798729,1.4326891,0.60898495,1.1830511,0.5286012472377236,1760.45811738113,12.523599,0.031900663
3976785295394882688,171.5508656576936,17.66090237716889,0.370573260590598,0.018770542,68.18745315223279,1.2527753,0.5592356,1.2114484,0.6267278546771563,1759.8927429259895,12.29273,0.0274858
3982271072438643072,164.1719892717163,17.792854763806123,0.2757803439303099,0.023112005,61.974188185118,1.551259,0.61331177,1.2070436,0.6326405259746549,1758.3984052274404,13.154215,0.04228519
3987132730604268160,158.47063264375228,19.259589833430997,0.3241206032474525,0.026123146,57.537287443515176,1.7913986,0.69062996,1.2115554,0.5040538148506737,1757.5360065911077,12.198167,0.015472646
4349996689042072320,241.8212539964936,-6.564733494238884,0.2794101194354184,0.018717432,31.895440643669502,1.2084247,0.79378986,1.2066437,0.5819931013313353,1711.2768488444567,13.44634,0.0031596664
3933770858623592960,188.589232056827,16.128614592692156,0.2967941853294095,0.039982237,78.30909138484962,2.2972322,0.65805817,1.2061579,0.43209268472186413,1679.5875161749493,13.403615,0.026717706
3940418398550912512,199.4638238681458,20.780614754499688,0.7033961505168485,0.030052774,81.24478758972295,1.4352473,0.6382456,1.2257012,0.5989338330520482,1687.935506028571,11.318995,0.006526003
3944929149299278976,196.28322260787348,23.27842218776525,0.48063526045316035,0.022459947,85.05924377278454,1.6036088,0.6000376,1.1902078,0.46890759020658695,1683.4605370612433,12.312396,0.016343363
3945610468551775616,185.5890772438902,16.292660882340773,0.25177256229025996,0.018964555,77.23966034804107,1.1137521,0.64802647,1.183391,0.5982850508829514,1676.2554691645012,13.511593,0.00860182
3952549005397562752,186.681995617978,21.278392900738382,0.27880079237549293,0.017592961,81.88098032344628,1.030355,0.62315464,1.1886778,0.6746497682253744,1674.5258509545013,13.060422,0.0012311919
3959667827791428224,189.72581660470672,24.88561318020876,0.3125351602370303,0.017502422,86.40011929687032,0.95356876,0.6265707,1.1772716,0.6283827336866538,1675.8657361019393,12.900759,0.0007957902
689686230645254912,133.24026684058742,23.79837849217441,0.5303492856544548,0.022297548,36.57202428823328,1.2756039,0.63588905,1.1992309,0.5457774975584088,1722.4362575094135,12.219352,0.0048520355
695655337537044864,139.7751384939026,29.065319514993156,0.6101059400570884,0.03194751,43.532186930339165,1.643215,0.55993366,1.2053826,0.5471978717077076,1722.7770202151205,11.729652,0.032357205
703542447977629184,130.01004344097805,27.72530241458889,0.43292517351243204,0.023272825,34.864593289290944,1.28256,0.6011038,1.1879725,0.5020222869620509,1719.99211021488,12.406119,0.01606544
1728545670296849024,195.65215865603056,86.60448059095798,0.2536034703213467,0.012404742,30.51960557567346,1.0910071,0.93886185,1.22493,0.6341082164439426,1699.2896647862638,14.022951,0.0009017497
1488671437577394816,222.47776818139153,40.230364279261465,0.27041083136959376,0.014649365,62.27452282510719,1.4587185,0.57922554,1.1615475,0.5950658798766125,1717.9654634793442,13.062518,0.0052870824
1489021872549385088,223.4162591625354,40.52868287179332,0.3760086564240104,0.012979658,61.50165302856973,1.1202284,0.48607635,1.1821454,0.4746005761785972,1718.5706983671332,12.553254,5.142877e-05
1489614955993536000,221.2747733127139,41.028692643015084,0.768619065108214,0.01784765,62.85146793501863,1.160369,0.5941849,1.2547659,0.5322676364431206,1718.1586866258933,11.175222,0.0039888355
1495595268456320896,207.68408935364337,37.61864727347417,0.2830303175537081,0.022437125,73.70302796499024,1.0199467,0.6289787,1.1660898,0.5496652648383247,1685.8733931403442,12.84761,0.002170815
1497236186481686016,207.06647054467246,39.900645130148696,0.513677401810981,0.016165497,72.62563078566824,1.3133693,0.50384617,1.2441851,0.4785154020756049,1683.6855170629244,11.800718,0.022140782
1500424804562041984,207.1775982290079,41.38520015231455,0.37097500061957633,0.015260995,71.52452008856882,1.2968193,0.5877762,1.1904167,0.5400343666575789,1682.2759473074482,12.508909,0.0016756664
1223679342759114752,236.94464885315625,27.415965537448482,0.4285148156552561,0.013110277,51.0268452740175,1.0856037,0.68410397,1.1982213,0.7689992909808153,1716.0047355072645,12.2856655,0.0013257896
2621577222057910528,337.7188999373137,-7.7114600104925985,0.29171902260345434,0.018972443,-51.4794658928636,1.0711173,0.64503574,1.2168368,0.5259802538557826,1760.6761143416709,13.339714,0.048480846
2622375506154471680,336.9532415608931,-7.483938155557492,0.39502906106397373,0.02574419,-50.72539605560847,1.3819606,0.8376341,1.1270758,0.5134877119876038,1760.5892098214492,12.354529,0.062966965
2623454809960751232,340.3812910865631,-6.477477968537067,0.5492104840325089,0.020046953,-52.8861621118071,1.3054718,0.63925266,1.2027289,0.5743964800392298,1760.9834542863127,12.223249,0.042658
4942949565999969536,33.48289311062937,-46.404896230416874,0.2523391266138147,0.016546756,-64.77042691964105,1.2599978,0.5737343,1.1869782,0.39640531012066427,1684.6037721931602,13.9322195,0.0066854428
4946561392977959296,37.7754288228812,-44.09863954921818,0.29640282742775587,0.013521691,-63.762477933532104,1.4330547,0.6548042,1.18795,0.5677946857396913,1690.6533582429918,13.3121,0.0034920068
4953524290878325376,39.111025496158064,-37.60015903340488,0.3003484115107977,0.01397001,-65.59088441301941,1.3354903,0.588665,1.203252,0.5799234049795826,1715.877020652762,13.169135,0.0033702715
4957668453282872448,29.23396735365639,-41.816192254550025,0.44417339944702877,0.012050142,-70.12179526645933,1.1213294,0.6490507,1.1917543,0.7174738748924498,1683.632956630393,12.402027,0.0007064632
